object_type,condition,label,frame_number,timestamp,point_id,x,y,z,range,velocity_radial,velocity_x,velocity_y,velocity_z,velocity_magnitude,is_moving,motion_type,snr,noise,peak_value,rcs,azimuth,elevation,doppler_idx,range_idx,condition_confidence
ball,moving,ball_moving,14,13.385692535,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,14,13.385692535,3,0.01211959334408539,7.43599012341041,0.0,7.436,0.9200000000000159,0.0014994655562881592,0.9199987780443378,0.0,0.9200000000000159,True,slow,20.128,10.0,50.128,-4.786364408607163,0.0933837890625,0.0,1084,169,1.0
ball,moving,ball_moving,14,13.385692535,4,0.0,0.044,0.0,0.044,9.079999999999998,0.0,9.079999999999998,0.0,9.079999999999998,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,916,1,1.0
ball,moving,ball_moving,14,13.385692535,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,15,13.635692625,0,-0.083307489256812,13.68374641179212,0.0,13.684,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.6320000000000014,10.0,37.632000000000005,-6.792989422401121,-0.34881591796875,0.0,47,311,1.0
ball,moving,ball_moving,15,13.635692625,1,0.0,1.98,0.0,1.98,4.650000000000006,0.0,4.650000000000006,0.0,4.650000000000006,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,805,45,1.0
ball,moving,ball_moving,15,13.635692625,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,15,13.635692625,3,0.0127650154748355,7.8319895974381835,0.0,7.832,0.9200000000000159,0.0014994655562881592,0.9199987780443378,0.0,0.9200000000000159,True,slow,19.336,10.0,49.336,-4.688691778669401,0.0933837890625,0.0,1084,178,1.0
ball,moving,ball_moving,15,13.635692625,4,0.0,0.044,0.0,0.044,8.950000000000003,0.0,8.950000000000003,0.0,8.950000000000003,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,915,1,1.0
ball,moving,ball_moving,15,13.635692625,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,16,13.88570169,0,-0.08250388003568519,13.55174885798062,0.0,13.552,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,7.896000000000001,10.0,37.896,-6.6961488157359454,-0.34881591796875,0.0,47,308,1.0
ball,moving,ball_moving,16,13.88570169,1,0.0,1.98,0.0,1.98,4.260000000000005,0.0,4.260000000000005,0.0,4.260000000000005,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,802,45,1.0
ball,moving,ball_moving,16,13.88570169,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,16,13.88570169,3,0.012263020484252079,7.523990006527693,0.0,7.523999999999999,0.9200000000000159,0.0014994655562881592,0.9199987780443378,0.0,0.9200000000000159,True,slow,19.952,10.0,49.952,-4.760684494789203,0.0933837890625,0.0,1084,171,1.0
